agent,run,cache_hit_ratio
Planner,1,0.8991683996330124
Planner,2,0.8236921920310708
Planner,3,0.8411487057287504
Planner,4,0.8542630699048778
Planner,5,0.8123876939980991
Planner,6,0.8400722950517081
Planner,7,0.8399688364949723
Planner,8,0.7785846492779103
Planner,9,0.8756180301982223
Planner,10,0.8610174480571842
Executor,1,0.3924742615619944
Executor,2,0.4197071043282567
Executor,3,0.4603179624518051
Executor,4,0.41431861508850115
Executor,5,0.4154350552796472
Executor,6,0.3428055152505526
Executor,7,0.4632748187135133
Executor,8,0.4374328543172223
Executor,9,0.44646759542559783
Executor,10,0.3384085280878096
Expresser,1,0.7542814861033914
Expresser,2,0.6869450990955361
Expresser,3,0.6625787025521126
Expresser,4,0.7713082499342501
Expresser,5,0.677957628656271
Expresser,6,0.6147194585384042
Expresser,7,0.6617647465057541
Expresser,8,0.5770258204112726
Expresser,9,0.7272228447204465
Expresser,10,0.6612586556665992
Reviewer,1,0.7502978589918173
Reviewer,2,0.8228988052630198
Reviewer,3,0.7139569764237664
Reviewer,4,0.8014171742530437
Reviewer,5,0.697423407875153
Reviewer,6,0.7535136264133276
Reviewer,7,0.7318312061760107
Reviewer,8,0.838479025088541
Reviewer,9,0.8506464351171734
Reviewer,10,0.7668234499234774
