agent,run,new_prefill_tokens
Planner,1,543
Planner,2,362
Planner,3,573
Planner,4,617
Planner,5,608
Planner,6,680
Planner,7,511
Planner,8,489
Planner,9,533
Planner,10,483
Planner,11,705
Planner,12,618
Executor,1,1177
Executor,2,1614
Executor,3,1790
Executor,4,1188
Executor,5,1992
Executor,6,1527
Executor,7,1366
Executor,8,1585
Executor,9,1395
Executor,10,1918
Executor,11,1778
Executor,12,1534
Expresser,1,667
Expresser,2,798
Expresser,3,610
Expresser,4,802
Expresser,5,674
Expresser,6,829
Expresser,7,917
Expresser,8,761
Expresser,9,795
Expresser,10,822
Expresser,11,916
Expresser,12,902
Reviewer,1,1001
Reviewer,2,984
Reviewer,3,724
Reviewer,4,584
Reviewer,5,725
Reviewer,6,1445
Reviewer,7,930
Reviewer,8,799
Reviewer,9,999
Reviewer,10,926
Reviewer,11,1012
Reviewer,12,1022
