"agent","run","new_prefill_tokens"
"Planner",1,434
"Planner",2,513
"Planner",3,500
"Planner",4,451
"Planner",5,586
"Planner",6,506
"Planner",7,603
"Planner",8,666
"Planner",9,542
"Planner",10,551
"Planner",11,620
"Planner",12,575
"Executor",1,1987
"Executor",2,1699
"Executor",3,2064
"Executor",4,1636
"Executor",5,1868
"Executor",6,1691
"Executor",7,1813
"Executor",8,1815
"Executor",9,1827
"Executor",10,1473
"Executor",11,1462
"Executor",12,2085
"Expresser",1,697
"Expresser",2,942
"Expresser",3,796
"Expresser",4,816
"Expresser",5,834
"Expresser",6,680
"Expresser",7,615
"Expresser",8,646
"Expresser",9,657
"Expresser",10,282
"Expresser",11,582
"Expresser",12,717
"Reviewer",1,786
"Reviewer",2,777
"Reviewer",3,918
"Reviewer",4,811
"Reviewer",5,951
"Reviewer",6,857
"Reviewer",7,877
"Reviewer",8,1104
"Reviewer",9,1213
"Reviewer",10,922
"Reviewer",11,1190
"Reviewer",12,873
