agent,turn,run,cache_hit_ratio
Planner,1,1,0.5118786303079804
Planner,1,2,0.5231454415782922
Planner,1,3,0.5275158344717071
Planner,1,4,0.4922440010416577
Planner,1,5,0.5370143098085772
Planner,1,6,0.48879459351751187
Planner,1,7,0.5153897214562619
Planner,1,8,0.5436955543104046
Planner,2,1,0.6832135246067443
Planner,2,2,0.6915597903685963
Planner,2,3,0.7029103817420981
Planner,2,4,0.6906854935590668
Planner,2,5,0.6968810486644934
Planner,2,6,0.7189886612563954
Planner,2,7,0.6890142226450161
Planner,2,8,0.7542728213004946
Planner,3,1,0.7817066597693758
Planner,3,2,0.8440824916063001
Planner,3,3,0.84478036510215
Planner,3,4,0.8212137568366766
Planner,3,5,0.7442452923004517
Planner,3,6,0.7588812868661569
Planner,3,7,0.7900968083623819
Planner,3,8,0.7545413016238339
Planner,4,1,0.8760018055746465
Planner,4,2,0.7853214256973747
Planner,4,3,0.8480815362409065
Planner,4,4,0.8266072687305843
Planner,4,5,0.8734294080027646
Planner,4,6,0.798575922054675
Planner,4,7,0.870462735526663
Planner,4,8,0.846722438498631
Planner,5,1,0.840663466571879
Planner,5,2,0.8798459498110308
Planner,5,3,0.898788945354151
Planner,5,4,0.8331406386407461
Planner,5,5,0.8429506804064204
Planner,5,6,0.7966514492623248
Planner,5,7,0.8354507684382616
Planner,5,8,0.8311284916300866
Planner,6,1,0.8737350501899741
Planner,6,2,0.8732552608413922
Planner,6,3,0.8568209621095326
Planner,6,4,0.8485931888033696
Planner,6,5,0.8980254287768912
Planner,6,6,0.8717596659694977
Planner,6,7,0.9182914283828372
Planner,6,8,0.8957972023149198
Executor,1,1,0.255665863340678
Executor,1,2,0.2568734255649849
Executor,1,3,0.3202098892891625
Executor,1,4,0.25758918479815285
Executor,1,5,0.30715092513016623
Executor,1,6,0.31746340276061136
Executor,1,7,0.31968019935318065
Executor,1,8,0.31882032980284214
Executor,2,1,0.34705167531738823
Executor,2,2,0.3157272665193439
Executor,2,3,0.28958521906976187
Executor,2,4,0.3694952187716374
Executor,2,5,0.46117785660675625
Executor,2,6,0.2923098202989759
Executor,2,7,0.44155329552461203
Executor,2,8,0.2963567260467115
Executor,3,1,0.38447221725372627
Executor,3,2,0.41715936064082415
Executor,3,3,0.5033227174170715
Executor,3,4,0.39765063262803724
Executor,3,5,0.4793077129770343
Executor,3,6,0.49107950871880296
Executor,3,7,0.4924692980444201
Executor,3,8,0.4422146521550132
Executor,4,1,0.4929926034208365
Executor,4,2,0.4984084725656907
Executor,4,3,0.5099465929626109
Executor,4,4,0.47259432365005954
Executor,4,5,0.45517050028934086
Executor,4,6,0.34255645908479115
Executor,4,7,0.41678508521732616
Executor,4,8,0.46753192909604857
Executor,5,1,0.5461758323504051
Executor,5,2,0.6029654312050612
Executor,5,3,0.4822898593355049
Executor,5,4,0.46938751881247787
Executor,5,5,0.42975483164813294
Executor,5,6,0.549402831488646
Executor,5,7,0.426580182530066
Executor,5,8,0.44057662511766676
Executor,6,1,0.4780962022634589
Executor,6,2,0.45495632479844855
Executor,6,3,0.5798244553346065
Executor,6,4,0.5250102372816675
Executor,6,5,0.4753079612731691
Executor,6,6,0.5486007089481837
Executor,6,7,0.4661404886860588
Executor,6,8,0.552145773561643
Expresser,1,1,0.44628049654423574
Expresser,1,2,0.37580505574349843
Expresser,1,3,0.39232548129214984
Expresser,1,4,0.4140223903089924
Expresser,1,5,0.36332151248142797
Expresser,1,6,0.44250131324298353
Expresser,1,7,0.39780557007124734
Expresser,1,8,0.40034809949625194
Expresser,2,1,0.5241052083864792
Expresser,2,2,0.5510906551308272
Expresser,2,3,0.5738661633418922
Expresser,2,4,0.5780842585397423
Expresser,2,5,0.5863021479986632
Expresser,2,6,0.6002107652599823
Expresser,2,7,0.5683516955883224
