"agent","turn","run","cache_hit_ratio"
"Planner",1,1,0.496168949887745
"Planner",1,2,0.525917726174136
"Planner",1,3,0.550051129650494
"Planner",1,4,0.558664761798134
"Planner",1,5,0.547172602391879
"Planner",1,6,0.53481002412029
"Planner",1,7,0.537978573891922
"Planner",1,8,0.472611789782923
"Planner",2,1,0.750018619833264
"Planner",2,2,0.785640230440254
"Planner",2,3,0.683720269010114
"Planner",2,4,0.702380641877863
"Planner",2,5,0.751683617518712
"Planner",2,6,0.710502452247372
"Planner",2,7,0.718363768855473
"Planner",2,8,0.729892539165824
"Planner",3,1,0.819892852894152
"Planner",3,2,0.826349844548678
"Planner",3,3,0.806086228075932
"Planner",3,4,0.868232074129476
"Planner",3,5,0.773021088866013
"Planner",3,6,0.864184708931451
"Planner",3,7,0.765021470255857
"Planner",3,8,0.798586088060005
"Planner",4,1,0.852476287880132
"Planner",4,2,0.891602414657805
"Planner",4,3,0.816469179345358
"Planner",4,4,0.80088211057871
"Planner",4,5,0.826438923114822
"Planner",4,6,0.786780242477005
"Planner",4,7,0.838495391618024
"Planner",4,8,0.808875099077617
"Planner",5,1,0.878666016276507
"Planner",5,2,0.863815789038559
"Planner",5,3,0.807773713008996
"Planner",5,4,0.842803629903178
"Planner",5,5,0.887358493489317
"Planner",5,6,0.89703095071657
"Planner",5,7,0.879837060982077
"Planner",5,8,0.834168431982455
"Planner",6,1,0.854008822064504
"Planner",6,2,0.879623672655451
"Planner",6,3,0.869865469168877
"Planner",6,4,0.917945869243922
"Planner",6,5,0.909823494029595
"Planner",6,6,0.866424440346798
"Planner",6,7,0.872446629929755
"Planner",6,8,0.869405031362973
"Executor",1,1,0.262864868180805
"Executor",1,2,0.331575355824082
"Executor",1,3,0.291176589524516
"Executor",1,4,0.29289776051196
"Executor",1,5,0.310058755478013
"Executor",1,6,0.313722838740846
"Executor",1,7,0.361600657223018
"Executor",1,8,0.237516501565637
"Executor",2,1,0.306000363931191
"Executor",2,2,0.444176631148426
"Executor",2,3,0.384348325346892
"Executor",2,4,0.394052041971157
"Executor",2,5,0.419682088447609
"Executor",2,6,0.42045114174367
"Executor",2,7,0.447638790312736
"Executor",2,8,0.402730269817449
"Executor",3,1,0.424657209776641
"Executor",3,2,0.501794411121712
"Executor",3,3,0.47684620618028
"Executor",3,4,0.504158383490842
"Executor",3,5,0.53880926114772
"Executor",3,6,0.399692070659547
"Executor",3,7,0.36394239403832
"Executor",3,8,0.418966218599458
"Executor",4,1,0.453803398548939
"Executor",4,2,0.503577764668858
"Executor",4,3,0.477591566550379
"Executor",4,4,0.544258238396327
"Executor",4,5,0.4715064280291
"Executor",4,6,0.423537934938624
"Executor",4,7,0.441540345499673
"Executor",4,8,0.496016565767767
"Executor",5,1,0.572878431507862
"Executor",5,2,0.48738889783665
"Executor",5,3,0.478432643923335
"Executor",5,4,0.392499573681981
"Executor",5,5,0.494944142944684
"Executor",5,6,0.549161613180271
"Executor",5,7,0.449826882149941
"Executor",5,8,0.443034266459323
"Executor",6,1,0.475612818590194
"Executor",6,2,0.485117100155905
"Executor",6,3,0.575240826298585
"Executor",6,4,0.45263000076093
"Executor",6,5,0.503637128713035
"Executor",6,6,0.531645192555704
"Executor",6,7,0.568014320239956
"Executor",6,8,0.500034581114942
"Expresser",1,1,0.470101501871434
"Expresser",1,2,0.381090501390038
"Expresser",1,3,0.439894881486155
"Expresser",1,4,0.466820675336717
"Expresser",1,5,0.422548931609871
"Expresser",1,6,0.461849845927781
"Expresser",1,7,0.346092880530266
"Expresser",1,8,0.443498665970204
"Expresser",2,1,0.553482762801205
"Expresser",2,2,0.553294814092905
"Expresser",2,3,0.587536040556749
"Expresser",2,4,0.579682161654633
"Expresser",2,5,0.559331409522261
"Expresser",2,6,0.550887423933452
"Expresser",2,7,0.554329452268038
"Expresser",2,8,0.48685488697356
"Expresser",3,1,0.645728267489973
"Expresser",3,2,0.605602210626679
"Expresser",3,3,0.657363281449591
"Expresser",3,4,0.620731630071955
"Expresser",3,5,0.630713688040511
"Expresser",3,6,0.64405179213179
"Expresser",3,7,0.698845864061299
"Expresser",3,8,0.66339252099457
"Expresser",4,1,0.673666188996405
"Expresser",4,2,0.633293649026961
"Expresser",4,3,0.701122705585218
"Expresser",4,4,0.650556037547227
"Expresser",4,5,0.682071012264366
"Expresser",4,6,0.689504753645512
"Expresser",4,7,0.674859994189077
"Expresser",4,8,0.666595879214
"Expresser",5,1,0.709864737988055
"Expresser",5,2,0.691823087347
"Expresser",5,3,0.639001645125144
"Expresser",5,4,0.720551425508138
"Expresser",5,5,0.683778627527094
"Expresser",5,6,0.677937041885927
"Expresser",5,7,0.70339520751159
"Expresser",5,8,0.633934653389358
"Expresser",6,1,0.742502787561766
"Expresser",6,2,0.720575693592863
"Expresser",6,3,0.679202598649628
"Expresser",6,4,0.667007004571784
"Expresser",6,5,0.744162871075131
"Expresser",6,6,0.709350697813256
"Expresser",6,7,0.745857664380834
"Expresser",6,8,0.669821989401714
"Reviewer",1,1,0.501415847468214
"Reviewer",1,2,0.482787529522675
"Reviewer",1,3,0.455073507680723
"Reviewer",1,4,0.503423531312446
"Reviewer",1,5,0.479447167966216
"Reviewer",1,6,0.468796153306752
"Reviewer",1,7,0.500838671702957
"Reviewer",1,8,0.442088464529797
"Reviewer",2,1,0.701346609696144
"Reviewer",2,2,0.673987057444275
"Reviewer",2,3,0.665626564197821
"Reviewer",2,4,0.645619911151722
"Reviewer",2,5,0.682470979574647
"Reviewer",2,6,0.696077262543961
"Reviewer",2,7,0.684717816242731
"Reviewer",2,8,0.665640486725301
"Reviewer",3,1,0.766484554326475
"Reviewer",3,2,0.808228005588297
"Reviewer",3,3,0.734121798030052
"Reviewer",3,4,0.743881913470166
"Reviewer",3,5,0.783028311413822
"Reviewer",3,6,0.757221228418883
"Reviewer",3,7,0.779661298235693
"Reviewer",3,8,0.776795172984302
"Reviewer",4,1,0.775331338672742
"Reviewer",4,2,0.800378900711665
"Reviewer",4,3,0.7778532249442
"Reviewer",4,4,0.780082529822776
"Reviewer",4,5,0.835914740666412
"Reviewer",4,6,0.817229724906205
"Reviewer",4,7,0.792263567313773
"Reviewer",4,8,0.755189543013356
"Reviewer",5,1,0.819817549853474
"Reviewer",5,2,0.878321393720472
"Reviewer",5,3,0.810078170716073
"Reviewer",5,4,0.813035889547419
"Reviewer",5,5,0.821121997926658
"Reviewer",5,6,0.832291266374894
"Reviewer",5,7,0.824870894144642
"Reviewer",5,8,0.853094239366816
"Reviewer",6,1,0.88345238674559
"Reviewer",6,2,0.784471191140668
"Reviewer",6,3,0.863053362893337
"Reviewer",6,4,0.881685320084909
"Reviewer",6,5,0.79268894770381
"Reviewer",6,6,0.841271960260759
"Reviewer",6,7,0.939771394163381
"Reviewer",6,8,0.824344802872035
