agent,concurrency,run,cache_hit_ratio
Planner,1,1,0.8292126112110046
Planner,1,2,0.8509843886661961
Planner,1,3,0.8399684545290561
Planner,1,4,0.8665280710830662
Planner,1,5,0.845084119575087
Planner,1,6,0.85663931861915
Planner,1,7,0.8139096193970439
Planner,1,8,0.8079022227933205
Planner,2,1,0.8087124493106231
Planner,2,2,0.7744127027941669
Planner,2,3,0.8060988683654368
Planner,2,4,0.8416246051814248
Planner,2,5,0.8419182418094019
Planner,2,6,0.8079128183665462
Planner,2,7,0.7914078051098001
Planner,2,8,0.817445558952208
Planner,4,1,0.678413782215627
Planner,4,2,0.7390865799695954
Planner,4,3,0.8170722725133661
Planner,4,4,0.7852034577028636
Planner,4,5,0.7646788530837973
Planner,4,6,0.7089298012769016
Planner,4,7,0.7326175181513108
Planner,4,8,0.7441590400649565
Planner,8,1,0.6849711265628908
Planner,8,2,0.7015789516010251
Planner,8,3,0.6761421429288346
Planner,8,4,0.7175354836559525
Planner,8,5,0.6533985546475218
Planner,8,6,0.5956052801461962
Planner,8,7,0.7423811510231598
Planner,8,8,0.5856911074590261
Planner,16,1,0.528835680863811
Planner,16,2,0.6194976947112042
Planner,16,3,0.5398407154410132
Planner,16,4,0.5313365938935458
Planner,16,5,0.5529745035595263
Planner,16,6,0.6545092270257111
Planner,16,7,0.5924724486557996
Planner,16,8,0.5181122754767612
Planner,32,1,0.39182598634857824
Planner,32,2,0.3897269838234224
Planner,32,3,0.32740125396932895
Planner,32,4,0.4300485971730467
Planner,32,5,0.3966350924262935
Planner,32,6,0.4262840884092449
Planner,32,7,0.41846818189086965
Planner,32,8,0.3911602382188165
Executor,1,1,0.49006580935654986
Executor,1,2,0.516049674998111
Executor,1,3,0.4597567879456258
Executor,1,4,0.5121977712253999
Executor,1,5,0.4291870417578615
Executor,1,6,0.4665160332669621
Executor,1,7,0.471324663985835
Executor,1,8,0.46850228683351136
Executor,2,1,0.37093472985749915
Executor,2,2,0.44955039225220095
Executor,2,3,0.4254804738319051
Executor,2,4,0.42696208048519285
Executor,2,5,0.32888118652358383
Executor,2,6,0.37901864268727714
Executor,2,7,0.374192791041852
Executor,2,8,0.4276459264424398
Executor,4,1,0.35378498584851764
Executor,4,2,0.33921884260715346
Executor,4,3,0.2713214306907119
Executor,4,4,0.38294950069868444
Executor,4,5,0.31040135262262797
Executor,4,6,0.37212625826913115
Executor,4,7,0.3418489198899158
Executor,4,8,0.3555437172215389
Executor,8,1,0.26343761584522324
Executor,8,2,0.23946949414743968
Executor,8,3,0.18702581631123572
Executor,8,4,0.24441362652609983
Executor,8,5,0.2357951379672427
Executor,8,6,0.2684143062245209
Executor,8,7,0.1743338647187847
Executor,8,8,0.23289481358696634
Executor,16,1,0.12313510004048926
Executor,16,2,0.23970279222026886
Executor,16,3,0.14137888389647454
Executor,16,4,0.07528043971078954
Executor,16,5,0.13841817707507298
Executor,16,6,0.19838066727667159
Executor,16,7,0.18810778258793726
Executor,16,8,0.1308475160494184
Executor,32,1,0.05504655615748422
Executor,32,2,0.02934580096613413
Executor,32,3,0.12230509100943006
Executor,32,4,0.12427744641298577
Executor,32,5,0.13476021361147011
Executor,32,6,0.0
Executor,32,7,0.08672967277005454
Executor,32,8,0.09990786530485787
Expresser,1,1,0.7463766137684203
Expresser,1,2,0.7100964549203886
Expresser,1,3,0.697910205442834
Expresser,1,4,0.7095325684540968
Expresser,1,5,0.7100727938770688
Expresser,1,6,0.7451542170958755
Expresser,1,7,0.6809174378350265
Expresser,1,8,0.6279748897496469
Expresser,2,1,0.625856846618604
Expresser,2,2,0.6805313836935273
Expresser,2,3,0.6625750078341978
Expresser,2,4,0.6571524845304049
Expresser,2,5,0.6719437104594587
Expresser,2,6,0.680365584202702
Expresser,2,7,0.6606146904955711
Expresser,2,8,0.6710120158807558
Expresser,4,1,0.5448571752422855
Expresser,4,2,0.5926555457463105
Expresser,4,3,0.5565266949121197
Expresser,4,4,0.5527525223744721
Expresser,4,5,0.6110412984514942
Expresser,4,6,0.5154261925028605
Expresser,4,7,0.5729433726419674
Expresser,4,8,0.6466057829348234
Expresser,8,1,0.484752937018388
Expresser,8,2,0.48517221051038356
Expresser,8,3,0.5232728033641494
Expresser,8,4,0.5208983933336907
Expresser,8,5,0.44448761853376106
Expresser,8,6,0.4619860056195048
Expresser,8,7,0.4520745044636645
Expresser,8,8,0.4991702815253295
Expresser,16,1,0.39355144438210393
Expresser,16,2,0.34645625077817654
Expresser,16,3,0.35113687649879266
Expresser,16,4,0.3334608081022141
Expresser,16,5,0.3389598598522585
Expresser,16,6,0.3813080829088774
Expresser,16,7,0.3555316053718938
Expresser,16,8,0.44827012744188266
Expresser,32,1,0.29063277853852054
Expresser,32,2,0.3151249155163405
Expresser,32,3,0.35829382325702175
Expresser,32,4,0.2153677601987119
Expresser,32,5,0.3498760559357642
Expresser,32,6,0.322057998784883
Expresser,32,7,0.2664446964587033
Expresser,32,8,0.267264987902205
Reviewer,1,1,0.8377296444268518
Reviewer,1,2,0.8156184505477981
Reviewer,1,3,0.8225861403008266
Reviewer,1,4,0.7765800947955722
Reviewer,1,5,0.7859383987525083
Reviewer,1,6,0.8341046641486346
Reviewer,1,7,0.757265568803786
Reviewer,1,8,0.7721165427788301
Reviewer,2,1,0.7442621770160592
Reviewer,2,2,0.7427674821998573
Reviewer,2,3,0.6861224527666983
Reviewer,2,4,0.7496324226941764
Reviewer,2,5,0.7555917800045427
Reviewer,2,6,0.7731521131145178
Reviewer,2,7,0.7372246958820935
Reviewer,2,8,0.752068214306271
Reviewer,4,1,0.6890122808238217
Reviewer,4,2,0.7377929125267813
Reviewer,4,3,0.6743218410270924
Reviewer,4,4,0.6653380599279165
Reviewer,4,5,0.6626751930303342
Reviewer,4,6,0.6977148739762352
Reviewer,4,7,0.7176490074120785
Reviewer,4,8,0.6583511748519009
Reviewer,8,1,0.6958194920599126
Reviewer,8,2,0.6046001873094051
Reviewer,8,3,0.6328443597929779
Reviewer,8,4,0.6401892448492952
Reviewer,8,5,0.5767009861220039
Reviewer,8,6,0.6136484458146448
Reviewer,8,7,0.6063413051903112
Reviewer,8,8,0.5827024670143565
Reviewer,16,1,0.5032283709414623
Reviewer,16,2,0.4425050991711505
Reviewer,16,3,0.4453331936500327
Reviewer,16,4,0.4913334102218142
Reviewer,16,5,0.4884518823058731
Reviewer,16,6,0.5383022545641205
Reviewer,16,7,0.4311874554074366
Reviewer,16,8,0.4130291439783349
Reviewer,32,1,0.36064473556719767
Reviewer,32,2,0.37848792994423963
Reviewer,32,3,0.3669232710969673
Reviewer,32,4,0.3708247994094572
Reviewer,32,5,0.4386153846337145
Reviewer,32,6,0.3795822244398048
Reviewer,32,7,0.3048824821043408
Reviewer,32,8,0.3871072397622919
