"agent","concurrency","run","cache_hit_ratio"
"Planner",1,1,0.830484268460753
"Planner",1,2,0.830626776190343
"Planner",1,3,0.796973109555953
"Planner",1,4,0.848761948024687
"Planner",1,5,0.805398497861475
"Planner",1,6,0.835291491764468
"Planner",1,7,0.857590632936718
"Planner",1,8,0.852846109770697
"Planner",2,1,0.85259212963295
"Planner",2,2,0.800171372499906
"Planner",2,3,0.770374489658653
"Planner",2,4,0.765291525156773
"Planner",2,5,0.825084452285489
"Planner",2,6,0.87045593077219
"Planner",2,7,0.770273772288754
"Planner",2,8,0.761674440681006
"Planner",4,1,0.773538764272556
"Planner",4,2,0.78950308652395
"Planner",4,3,0.782449464146207
"Planner",4,4,0.726707852525681
"Planner",4,5,0.764955749676222
"Planner",4,6,0.749087852047312
"Planner",4,7,0.739629336847766
"Planner",4,8,0.795554368561756
"Planner",8,1,0.688374776704961
"Planner",8,2,0.716265869114819
"Planner",8,3,0.702570295348881
"Planner",8,4,0.656756353834373
"Planner",8,5,0.661153327987304
"Planner",8,6,0.71640238017895
"Planner",8,7,0.733539735892293
"Planner",8,8,0.623046756774562
"Planner",16,1,0.58286329492969
"Planner",16,2,0.505203288383444
"Planner",16,3,0.648163007434371
"Planner",16,4,0.531790513128583
"Planner",16,5,0.660445555804002
"Planner",16,6,0.578110482338096
"Planner",16,7,0.615583954410005
"Planner",16,8,0.518515305374076
"Planner",32,1,0.412241712947151
"Planner",32,2,0.339445568541567
"Planner",32,3,0.474852294235492
"Planner",32,4,0.449843814448156
"Planner",32,5,0.504967799121379
"Planner",32,6,0.442411506274582
"Planner",32,7,0.46357342618339
"Planner",32,8,0.398729284573913
"Executor",1,1,0.460749871560551
"Executor",1,2,0.485122122702378
"Executor",1,3,0.464284021904364
"Executor",1,4,0.447949781352549
"Executor",1,5,0.450335172369274
"Executor",1,6,0.485995287792568
"Executor",1,7,0.491651778602037
"Executor",1,8,0.421677922029741
"Executor",2,1,0.394778253358766
"Executor",2,2,0.377729569050677
"Executor",2,3,0.399327558494832
"Executor",2,4,0.410245613814897
"Executor",2,5,0.456763842070603
"Executor",2,6,0.393948045289295
"Executor",2,7,0.381251695977281
"Executor",2,8,0.416549796838622
"Executor",4,1,0.379959146299847
"Executor",4,2,0.283760912176245
"Executor",4,3,0.36223083658845
"Executor",4,4,0.414056611670538
"Executor",4,5,0.29679684327534
"Executor",4,6,0.330605024077254
"Executor",4,7,0.369428637978193
"Executor",4,8,0.32058850826673
"Executor",8,1,0.190871683050306
"Executor",8,2,0.195548612133348
"Executor",8,3,0.186648467593026
"Executor",8,4,0.122578173812469
"Executor",8,5,0.246953044308483
"Executor",8,6,0.180164484815715
"Executor",8,7,0.293412133930112
"Executor",8,8,0.210483871951907
"Executor",16,1,0.0533014210693904
"Executor",16,2,0.177541265419318
"Executor",16,3,0.140732247590166
"Executor",16,4,0.1141128997696
"Executor",16,5,0.158752820602642
"Executor",16,6,0.20634241585437
"Executor",16,7,0.145466304693374
"Executor",16,8,0.185659908671438
"Executor",32,1,0
"Executor",32,2,0.0925098778304491
"Executor",32,3,0.0392649053055819
"Executor",32,4,0.165197235501745
"Executor",32,5,0.135029663421486
"Executor",32,6,0.018398963781925
"Executor",32,7,0.115375105641782
"Executor",32,8,0.110201009814089
"Expresser",1,1,0.660884283169201
"Expresser",1,2,0.689971009033767
"Expresser",1,3,0.695514713372305
"Expresser",1,4,0.708530006664271
"Expresser",1,5,0.716496674840852
"Expresser",1,6,0.697193189541973
"Expresser",1,7,0.673019184163286
"Expresser",1,8,0.685858631735476
"Expresser",2,1,0.624687719893603
"Expresser",2,2,0.649073730947609
"Expresser",2,3,0.710377555014462
"Expresser",2,4,0.630649836394855
"Expresser",2,5,0.649995049307312
"Expresser",2,6,0.684877629813066
"Expresser",2,7,0.641481379080341
"Expresser",2,8,0.642718691635957
"Expresser",4,1,0.572251434077271
"Expresser",4,2,0.577343546006827
"Expresser",4,3,0.583734699035732
"Expresser",4,4,0.613731578023217
"Expresser",4,5,0.698470847709377
"Expresser",4,6,0.609857357822133
"Expresser",4,7,0.567437192264377
"Expresser",4,8,0.511529635236482
"Expresser",8,1,0.474503983853314
"Expresser",8,2,0.547837209233162
"Expresser",8,3,0.451186170388458
"Expresser",8,4,0.52476565391265
"Expresser",8,5,0.487255377327277
"Expresser",8,6,0.43243546154118
"Expresser",8,7,0.473118521180094
"Expresser",8,8,0.491204040802696
"Expresser",16,1,0.368064924136388
"Expresser",16,2,0.442906229120282
"Expresser",16,3,0.338715576656692
"Expresser",16,4,0.295383707284477
"Expresser",16,5,0.3536152780258
"Expresser",16,6,0.399290013629969
"Expresser",16,7,0.370764461498566
"Expresser",16,8,0.43446147090318
"Expresser",32,1,0.261592432696082
"Expresser",32,2,0.337207480064634
"Expresser",32,3,0.327051641888355
"Expresser",32,4,0.239167748137734
"Expresser",32,5,0.359564415475809
"Expresser",32,6,0.224746184610187
"Expresser",32,7,0.335703823749915
"Expresser",32,8,0.252474508597784
"Reviewer",1,1,0.810681488264503
"Reviewer",1,2,0.775778619742617
"Reviewer",1,3,0.810809926653976
"Reviewer",1,4,0.839383965513698
"Reviewer",1,5,0.758428040874368
"Reviewer",1,6,0.776134041060772
"Reviewer",1,7,0.807286949336155
"Reviewer",1,8,0.844778724068234
"Reviewer",2,1,0.787459776088298
"Reviewer",2,2,0.744727532259735
"Reviewer",2,3,0.754930268097907
"Reviewer",2,4,0.726595264649243
"Reviewer",2,5,0.801186549071446
"Reviewer",2,6,0.83610949300288
"Reviewer",2,7,0.771566907621662
"Reviewer",2,8,0.778872985093091
"Reviewer",4,1,0.621768792994034
"Reviewer",4,2,0.729971834327898
"Reviewer",4,3,0.729582500385544
"Reviewer",4,4,0.761342629514344
"Reviewer",4,5,0.723282285688838
"Reviewer",4,6,0.729371305618632
"Reviewer",4,7,0.707493203676982
"Reviewer",4,8,0.692437288661326
"Reviewer",8,1,0.572978854607662
"Reviewer",8,2,0.637754880246343
"Reviewer",8,3,0.620203283183947
"Reviewer",8,4,0.577566155905537
"Reviewer",8,5,0.642617226503139
"Reviewer",8,6,0.692502307892159
"Reviewer",8,7,0.648441727844738
"Reviewer",8,8,0.525463518699139
"Reviewer",16,1,0.461963108517472
"Reviewer",16,2,0.495190929073725
"Reviewer",16,3,0.471510906376358
"Reviewer",16,4,0.483217989512029
"Reviewer",16,5,0.453153951583493
"Reviewer",16,6,0.403192684097683
"Reviewer",16,7,0.52600459896022
"Reviewer",16,8,0.531169498513646
"Reviewer",32,1,0.402399032947595
"Reviewer",32,2,0.420991059245952
"Reviewer",32,3,0.38054895597964
"Reviewer",32,4,0.431467174877615
"Reviewer",32,5,0.502005649227513
"Reviewer",32,6,0.366308141299621
"Reviewer",32,7,0.416772864534164
"Reviewer",32,8,0.42507996836448
